English,Chinese
pitstop,进站
vicap,维卡普
masayuki,雅之
cattleman,牧牛人
glastonbury,格拉斯顿伯里
dingus,丁格斯
shawshank,肖申克
c-dub,配音
capita,资本
cruisin,巡航
seahorse,海马
cylindrical,圆柱形
sikhs,锡克教徒
agrarian,农业的
beav,贝夫
comptroller,主计长
cept,概念
gonads,性腺
aqualad,水上运动
hikes,远足
youjust,你刚才
yeehaw,耶哈
myriam,米里亚姆
happ,快乐
time-sensitive,对时间敏感的
kaley,凯利
froning,弗罗宁
edwardian,爱德华时代的
forefinger,食指
kinko,金考
dunhill,登喜路
glob,全局
gotto,必须
manassas,马纳萨斯
shinpei,新平
darwinian,达尔文主义
wegener,韦格纳
irregularity,不规则性
downturn,低迷
blockheads,笨蛋
distinguishes,区分
purist,纯粹主义者
catapults,弹射器
living-room,客厅
majorly,主要是
outlining,提纲
facials,面部护理
five-mile,五英里
skivvies,斯基维耶斯
delle,德尔
reeked,恶臭的
prospectors,探矿者
ridiculing,嘲笑
yo-ho,哟呵
imprints,印记
yeshiva,犹太学院
bludgeon,棍棒
btw,顺便提一句
raga,拉加
white-haired,白发的
chale,查莱
massager,按摩器
veena,维纳
play-acting,演戏
modi,莫迪
44th,44日
dibble,点滴
alsatian,阿尔萨斯
facetime,视频对话
revelry,狂欢
emergent,涌现的
rathod,拉托德
fixer-upper,上固定器
oozes,渗出
youngpo,永浦
wristbands,腕带
sherm,舍姆
sugu,苏古
muskrat,麝香鼠
away.,离开。
rino,里诺
twiddle,摆弄
lohengrin,洛恩格林
aba,阿坝
harps,竖琴
applegate,阿普盖特
kardashians,卡戴珊姐妹
anny,安妮
alley-oop,空中接力
transcendence,超越
sous-chef,副主厨
shropshire,什罗普郡
n-word,n 个字
wu-tang,武堂
freighters,货轮
jammy,杰米
annexed,附件
sharat,沙拉特
pyrotechnics,烟火
behaviours,行为
bolingbroke,博林布鲁克
peaking,峰值
hydroponic,水培法
didnae,迪达埃
ngai,恩盖
instrumentation,仪器仪表
0th,0号
mervyn,默文
roofied,有屋顶的
dredged,疏浚的
and.,和。
pilaf,抓饭
spore,孢子
yuta,裕太
lippy,利比
work.,工作。
ilaria,伊拉里亚
wog,沃格
benvolio,本伏利奥
b-,b-
bungling,笨拙的
raindrop,雨滴
categorize,分类
depots,仓库
morin,桑色素
lesbos,莱斯沃斯岛
torquay,托基
charo,查罗
dmz,DMZ
gdp,国内生产总值
unknowable,不可知的
arvo,阿尔沃
napoleonic,拿破仑的
kalyan,卡延
capitán,船长
open-ended,开放式的
frocks,连衣裙
witching,巫术
fosse,福斯
pease,豌豆
zoloft,左洛复
frits,油炸块
prager,普拉格
faggy,基佬
computation,计算
tobacconist,烟草商
comprise,包括
erode,侵蚀
dour,阴沉的
torching,火炬
skeffington,斯凯芬顿
fukuda,福田
interred,埋葬
compressing,压缩
monopolize,独占
were,是
hornstock,霍恩斯托克
cluny,克鲁尼
impurity,不纯
bassoon,巴松管
reimbursement,报销
fissures,裂缝
regenerative,再生的
earlobe,耳垂
rear-ended,后方结束
ifield,伊菲尔德
syed,赛义德
sprechen,斯普雷兴
wiretapping,窃听
campari,金巴利
tropicana,热带康纳
aihara,相原
cpt,cpt
amun,阿蒙
geir,盖尔
bassist,贝斯手
wrangling,争论
shit.,拉屎。
edits,编辑
unappealing,没有吸引力的
etty,埃蒂
hostels,旅馆
domains,域
ahana,阿哈纳
usagi,乌萨吉
iwaki,磐城
rodders,罗德斯
reacher,到达者
congeniality,意气相投
readjust,重新调整
koothrappali,库斯拉帕利
capsize,倾覆
ieds,简易爆炸装置
deplore,痛惜
dono,多诺
enslavement,奴役
clenching,咬紧牙关
jaridians,贾里迪安
izmir,伊兹密尔
samovar,茶炊
naonka,纳翁卡
jinlun,金轮
lineman,架线工
tulle,薄纱
banku,班库
vivan,维万
time-share,分时度假
appropriation,拨款
tiago,蒂亚戈
rigidity,刚性
afteryou,您先请
macfarlane,麦克法兰
lulled,平静的
hooke,胡克
fritzi,弗里齐
sammie,萨米
pupkin,南瓜
symphonies,交响乐
convicting,定罪
elevating,提升
layaway,分期付款
yourfriend,你的朋友
savoury,咸味的
implicates,暗示
emanuelle,埃马纽埃尔
mathai,马泰
savio,萨维奥
ayhan,艾汉
giblets,内脏
vanities,虚荣心
calamities,灾难
hino,日野
kronk,克朗克
gorski,戈尔斯基
make-,制作-
zucker,祖克
chopstick,筷子
rearden,雷尔登
lenora,莱诺拉
resynced,重新同步
aver,断言
reintroduce,重新介绍
greggs,格雷格斯
servalan,塞瓦兰
grisham,格里沙姆
ruzek,鲁泽克
ravenna,拉维纳
rutabaga,芜菁甘蓝
misconceptions,误解
lemel,莱梅尔
donati,多纳蒂
brasília,巴西利亚
airbender,气宗
hesselboe,赫塞尔博伊
boozy,醉酒的
annexation,兼并
swindon,斯温顿
edelstein,埃德尔斯坦
remedied,补救的
broadside,舷侧
dustpan,簸箕
lock-down,封锁
peered,凝视
yasin,亚辛
loosed,释放了
carburettor,化油器
might-,可能-
normandie,诺曼底
masai,马赛人
weightlessness,失重
nakai,中井
alai,阿莱
unzipped,解压的
turbot,大菱鲆
buchenwald,布痕瓦尔德集中营
starsk,斯塔斯克
mind-control,精神控制
adopts,采用
karat,克拉
amundsen,阿蒙森
bresson,布列松
bodnar,博德纳尔
interpreters,口译员
laminate,层压板
stabbings,刺伤
tweaker,调整者
touchstone,试金石
unpredictability,不可预测性
secrete,分泌
menstruating,月经期间
